-4.32	-5.12
-4.24	-4.88
-4.24	-4.88
-4.16	-4.96
-4.16	-4.88
-4.16	-4.64
-4	-4.64
-4	-4.64
-3.92	-4.56
-3.92	-4.56
-3.76	-4.48
-3.84	-4.4
-3.68	-4.48
-3.76	-4.24
-3.6	-4.24
-3.6	-4.16
-3.52	-4.16
-3.44	-4.08
-3.36	-4.08
-3.28	-3.92
-3.28	-4
-3.2	-3.84
-3.2	-3.84
-3.12	-3.84
-3.12	-3.84
-3.04	-3.6
-2.96	-3.52
-2.96	-3.52
-2.88	-3.44
-2.8	-3.44
-2.8	-3.36
-2.64	-3.2
-2.64	-3.2
-2.56	-3.2
-2.48	-3.2
-2.32	-3.2
-2.24	-3.12
-2.24	-2.96
-2.24	-2.88
-2.16	-2.88
-2.16	-2.8
-2.08	-2.72
-2	-2.64
-1.92	-2.56
-2	-2.64
-1.84	-2.56
-1.68	-2.48
-1.68	-2.4
-1.68	-2.32
-1.6	-2.16
-1.52	-2.32
-1.44	-2.16
-1.36	-2.16
-1.36	-2.16
-1.2	-1.92
-1.2	-1.92
-1.2	-1.84
-1.12	-1.76
-1.04	-1.68
-1.04	-1.76
-1.12	-1.6
-0.88	-1.52
-0.8	-1.44
-0.88	-1.52
-0.8	-1.36
-0.64	-1.36
-0.56	-1.12
-0.48	-1.12
-0.4	-1.2
-0.4	-1.2
-0.24	-0.96
-0.24	-0.96
-0.24	-0.88
-0.08	-0.88
-0.08	-0.88
0.08	-0.64
0.08	-0.64
0	-0.48
0.16	-0.64
0.24	-0.48
0.24	-0.32
0.32	-0.4
0.4	-0.32
0.32	-0.24
0.48	-0.08
0.48	-0.08
0.64	0
0.64	-0.08
0.72	0.08
0.72	0
0.8	0.16
0.88	0.16
1.04	0.4
1.04	0.4
1.04	0.4
1.12	0.48
1.2	0.48
1.28	0.56
1.28	0.72
1.44	0.64
1.52	0.64
1.44	0.8
1.52	0.96
1.68	1.04
1.68	0.96
1.68	1.12
1.68	1.04
1.84	1.04
1.92	1.12
1.84	1.28
2	1.28
2	1.28
2.16	1.36
2.08	1.44
2.32	1.44
2.24	1.52
2.4	1.68
2.32	1.68
2.32	1.68
2.48	1.76
2.72	1.92
2.56	1.84
2.72	2
2.56	1.92
2.88	2.08
2.88	2.08
2.8	2.32
3.04	2.24
3.04	2.32
2.96	2.32
3.2	2.32
3.2	2.4
3.28	2.48
3.28	2.56
3.36	2.48
3.36	2.56
3.44	2.64
3.44	2.64
3.6	2.72
3.52	2.8
3.68	2.8
3.76	2.96
3.92	2.88
3.76	2.96
3.76	3.04
3.92	3.2
3.92	3.2
4.08	3.2
4.08	3.28
4.08	3.2
4.08	3.28
4.16	3.52
4.24	3.36
4.24	3.36
4.4	3.44
4.24	3.6
4.4	3.52
4.4	3.6
4.48	3.76
4.4	3.68
4.56	3.76
4.72	3.76
4.56	3.84
4.72	3.92
4.72	3.92
4.8	4
4.8	4
4.96	4.08
4.96	4.16
5.04	4.32
4.88	4.24
4.96	4.16
5.04	4.32
5.12	4.32
5.28	4.32
5.12	4.4
5.28	4.48
5.28	4.48
5.2	4.48
5.28	4.56
5.36	4.56
5.44	4.72
5.36	4.64
5.52	4.72
5.52	4.56
5.52	4.8
5.6	4.88
5.52	4.88
5.6	4.88
